firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,season,playerName
Donovan,Mitchell,1628378,22300820,2024-02-25 18:00:00,Cleveland,Cavaliers,Washington,Wizards,Regular Season,,,,1,0,36.0,16.0,5.0,0.0,1.0,10.0,4.0,0.4,6.0,3.0,0.5,5.0,5.0,1.0,4.0,0.0,4.0,5.0,3.0,6.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300781,2024-02-14 19:30:00,Cleveland,Cavaliers,Chicago,Bulls,Regular Season,,,,1,1,38.0,30.0,7.0,0.0,2.0,21.0,8.0,0.381,8.0,2.0,0.25,13.0,12.0,0.923,6.0,0.0,6.0,1.0,0.0,4.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300762,2024-02-12 19:00:00,Cleveland,Cavaliers,Philadelphia,76ers,Regular Season,,,,0,1,37.0,36.0,6.0,0.0,3.0,20.0,9.0,0.45,9.0,4.0,0.444,17.0,14.0,0.824,3.0,1.0,4.0,2.0,3.0,10.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300756,2024-02-10 19:30:00,Cleveland,Cavaliers,Toronto,Raptors,Regular Season,,,,1,0,31.0,15.0,6.0,1.0,2.0,11.0,5.0,0.455,6.0,3.0,0.5,2.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,6.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300735,2024-02-08 19:30:00,Cleveland,Cavaliers,Brooklyn,Nets,Regular Season,,,,1,0,30.0,27.0,4.0,3.0,3.0,18.0,10.0,0.556,10.0,4.0,0.4,3.0,3.0,1.0,5.0,0.0,5.0,1.0,4.0,17.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300728,2024-02-07 19:00:00,Cleveland,Cavaliers,Washington,Wizards,Regular Season,,,,1,0,37.0,40.0,5.0,0.0,1.0,25.0,14.0,0.56,10.0,5.0,0.5,7.0,7.0,1.0,8.0,0.0,8.0,1.0,5.0,0.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300714,2024-02-05 19:00:00,Cleveland,Cavaliers,Sacramento,Kings,Regular Season,,,,1,1,32.0,29.0,5.0,0.0,2.0,20.0,11.0,0.55,11.0,5.0,0.455,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,28.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300703,2024-02-03 20:30:00,Cleveland,Cavaliers,San Antonio,Spurs,Regular Season,,,,1,0,35.0,31.0,7.0,2.0,2.0,20.0,12.0,0.6,9.0,4.0,0.444,3.0,3.0,1.0,5.0,3.0,8.0,2.0,2.0,20.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300687,2024-02-01 20:00:00,Cleveland,Cavaliers,Memphis,Grizzlies,Regular Season,,,,1,0,33.0,25.0,7.0,0.0,0.0,19.0,10.0,0.526,9.0,3.0,0.333,4.0,2.0,0.5,4.0,0.0,4.0,3.0,4.0,16.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300675,2024-01-31 19:00:00,Cleveland,Cavaliers,Detroit,Pistons,Regular Season,,,,1,1,35.0,45.0,8.0,1.0,2.0,25.0,14.0,0.56,13.0,6.0,0.462,12.0,11.0,0.917,4.0,2.0,6.0,2.0,2.0,22.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300658,2024-01-29 19:00:00,Cleveland,Cavaliers,Los Angeles,Clippers,Regular Season,,,,1,1,38.0,28.0,12.0,1.0,2.0,21.0,11.0,0.524,10.0,2.0,0.2,6.0,4.0,0.667,3.0,1.0,4.0,3.0,2.0,11.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300639,2024-01-26 20:00:00,Cleveland,Cavaliers,Milwaukee,Bucks,Regular Season,,,,1,0,36.0,32.0,6.0,1.0,1.0,27.0,12.0,0.444,12.0,6.0,0.5,4.0,2.0,0.5,7.0,1.0,8.0,2.0,5.0,14.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300624,2024-01-24 20:00:00,Cleveland,Cavaliers,Milwaukee,Bucks,Regular Season,,,,0,0,39.0,23.0,8.0,0.0,1.0,24.0,10.0,0.417,11.0,2.0,0.182,4.0,1.0,0.25,7.0,0.0,7.0,5.0,6.0,-11.0,2023-24,Donovan Mitchell
