playerName,season,total_points,total_games,avg_points_per_game
Amar'e Stoudemire,2004-05,2080.0,80,26.0
Amar'e Stoudemire,2005-06,26.0,3,8.666666666666666
Amar'e Stoudemire,2006-07,1671.0,82,20.378048780487806
Amar'e Stoudemire,2007-08,1989.0,79,25.17721518987342
Amar'e Stoudemire,2008-09,1134.0,53,21.39622641509434
Amar'e Stoudemire,2009-10,1896.0,82,23.121951219512194
Amar'e Stoudemire,2010-11,1971.0,78,25.26923076923077
Amar'e Stoudemire,2011-12,823.0,47,17.51063829787234
Amar'e Stoudemire,2012-13,413.0,29,14.241379310344827
Amar'e Stoudemire,2013-14,772.0,65,11.876923076923077
Amar'e Stoudemire,2014-15,680.0,59,11.525423728813559
Amar'e Stoudemire,2015-16,300.0,52,5.769230769230769
Amari Bailey,2023-24,23.0,10,2.3
Amari Williams,2025-26,3.0,6,0.5
Amen Thompson,2023-24,592.0,62,9.548387096774194
Amen Thompson,2024-25,959.0,68,14.102941176470589
Amen Thompson,2025-26,594.0,33,18.0
Amida Brimah,2020-21,16.0,7,2.2857142857142856
Amile Jefferson,2018-19,27.0,12,2.25
Amile Jefferson,2019-20,15.0,15,1.0
Amir Coffey,2019-20,58.0,14,4.142857142857143
Amir Coffey,2020-21,138.0,31,4.451612903225806
Amir Coffey,2021-22,619.0,65,9.523076923076923
Amir Coffey,2022-23,172.0,45,3.8222222222222224
Amir Coffey,2023-24,463.0,69,6.7101449275362315
Amir Coffey,2024-25,687.0,71,9.67605633802817
Amir Coffey,2025-26,32.0,22,1.4545454545454546
Amir Johnson,2005-06,20.0,3,6.666666666666667
Amir Johnson,2006-07,47.0,8,5.875
Amir Johnson,2007-08,221.0,62,3.564516129032258
Amir Johnson,2008-09,217.0,62,3.5
Amir Johnson,2009-10,511.0,82,6.2317073170731705
Amir Johnson,2010-11,688.0,72,9.555555555555555
Amir Johnson,2011-12,452.0,64,7.0625
Amir Johnson,2012-13,813.0,81,10.037037037037036
Amir Johnson,2013-14,799.0,77,10.376623376623376
Amir Johnson,2014-15,694.0,75,9.253333333333334
Amir Johnson,2015-16,577.0,79,7.30379746835443
Amir Johnson,2016-17,520.0,80,6.5
Amir Johnson,2017-18,342.0,74,4.621621621621622
Amir Johnson,2018-19,201.0,51,3.9411764705882355
Anderson Varejao,2004-05,266.0,54,4.925925925925926
Anderson Varejao,2005-06,219.0,45,4.866666666666666
Anderson Varejao,2006-07,547.0,81,6.753086419753086
Anderson Varejao,2007-08,321.0,48,6.6875
Anderson Varejao,2008-09,694.0,81,8.567901234567902
Anderson Varejao,2009-10,651.0,76,8.56578947368421
Anderson Varejao,2010-11,282.0,31,9.096774193548388
Anderson Varejao,2011-12,271.0,25,10.84
Anderson Varejao,2012-13,353.0,25,14.12
Anderson Varejao,2013-14,546.0,65,8.4
Anderson Varejao,2014-15,255.0,26,9.807692307692308
Anderson Varejao,2015-16,138.0,53,2.6037735849056602
Anderson Varejao,2016-17,18.0,14,1.2857142857142858
Anderson Varejao,2020-21,13.0,5,2.6
Andrae Patterson,1998-99,114.0,33,3.4545454545454546
Andrae Patterson,1999-00,6.0,5,1.2
Andray Blatche,2005-06,65.0,26,2.5
Andray Blatche,2006-07,206.0,55,3.7454545454545456
Andray Blatche,2007-08,618.0,82,7.536585365853658
Andray Blatche,2008-09,713.0,71,10.04225352112676
Andray Blatche,2009-10,1143.0,81,14.11111111111111
Andray Blatche,2010-11,1076.0,64,16.8125
Andray Blatche,2011-12,221.0,26,8.5
Andray Blatche,2012-13,843.0,82,10.28048780487805
Andray Blatche,2013-14,821.0,73,11.246575342465754
Andre Barrett,2004-05,118.0,37,3.189189189189189
Andre Barrett,2005-06,87.0,19,4.578947368421052
Andre Barrett,2006-07,8.0,5,1.6
Andre Barrett,2007-08,6.0,4,1.5
Andre Brown,2006-07,93.0,38,2.4473684210526314
Andre Brown,2007-08,100.0,33,3.0303030303030303
Andre Brown,2008-09,4.0,4,1.0
Andre Dawkins,2014-15,3.0,4,0.75
Andre Drummond,2012-13,476.0,60,7.933333333333334
Andre Drummond,2013-14,1095.0,81,13.518518518518519
Andre Drummond,2014-15,1130.0,82,13.78048780487805
Andre Drummond,2015-16,1314.0,81,16.22222222222222
Andre Drummond,2016-17,1105.0,81,13.641975308641975
Andre Drummond,2017-18,1171.0,78,15.012820512820513
